lon,lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,upper_plate_nature
148.719209,1.663039,653,689,88.458934,55.597542,-0.000476,-91.986523,-0.000016,-0.000475,0.118312,-7.761886,-0.118328,-7.762361,33.814842,277.987709,22,694.233194,oceanic
148.705753,2.162858,653,689,88.458485,55.597542,-0.000985,-92.394975,-0.000041,-0.000985,0.284549,-7.761376,-0.284591,-7.762361,33.023880,333.585251,22,694.233194,oceanic
148.692288,2.662677,653,689,88.457918,55.597542,-0.000904,-92.803164,-0.000044,-0.000903,0.450787,-7.761458,-0.450831,-7.762361,29.995852,332.849172,22,694.233194,oceanic
148.678812,3.162496,653,689,88.457233,55.597542,-0.000230,-93.211043,-0.000013,-0.000230,0.617025,-7.762131,-0.617038,-7.762361,28.884085,277.251630,22,694.233194,oceanic
148.571792,3.648338,653,689,74.511742,55.597542,0.000915,-83.120038,0.000110,-0.000908,-1.105778,-7.690403,1.105888,-7.691311,32.997513,221.654088,22,694.233194,oceanic
148.437925,4.130170,653,689,74.502662,55.597542,0.001565,-83.527499,0.000176,-0.001555,-0.939428,-7.689756,0.939604,-7.691311,50.978531,166.056546,22,694.233194,oceanic
148.303896,4.611980,653,689,74.492447,55.597542,0.001625,-83.935673,0.000172,-0.001616,-0.773077,-7.689695,0.773249,-7.691311,33.569122,110.459004,22,694.233194,oceanic
148.169685,5.093764,653,689,74.481093,82.660233,0.001097,-84.344517,0.000108,-0.001092,-0.606727,-7.690219,0.606835,-7.691311,37.784477,54.861462,22,694.233194,oceanic
-80.952747,6.880967,911,2015,357.963802,27.798771,6.128192,84.303309,0.608298,6.097927,-1.489814,0.248809,1.489814,0.248809,10.938343,0.000000,25,6884.559025,continental
-80.449418,6.898469,911,2015,358.024181,55.597542,6.144056,82.974616,0.751474,6.097927,-1.399317,0.248809,1.399319,0.248809,12.005530,55.597542,25,6884.559025,continental
-79.948246,6.947858,911,2015,354.232135,55.597542,6.153964,85.496523,0.483207,6.134964,-1.288829,0.342055,1.288845,0.342060,12.160917,111.195084,25,6884.559025,continental
-79.449382,7.015996,911,2015,351.134600,55.597542,6.161632,87.325418,0.287522,6.154920,-1.177363,0.410858,1.177390,0.410868,11.989745,75.874064,25,6884.559025,continental
-78.953098,7.099433,911,2015,342.699379,48.075293,-6.168002,94.494582,-0.483354,6.149034,-1.013881,0.568132,1.013882,0.568132,11.942513,20.276522,25,6884.559025,continental
103.466275,-8.754929,801,736,9.831088,27.798771,6.935163,6.706307,6.887711,0.809889,0.858035,2.232892,-0.858035,2.232892,98.313416,0.000000,23,3455.128780,oceanic
103.964628,-8.841169,801,736,11.483041,55.597542,6.942091,4.971628,6.915973,0.601618,0.780951,2.257484,-0.780954,2.257494,100.271805,55.597542,23,3455.128780,oceanic
104.460646,-8.940381,801,736,11.406380,50.212452,6.948510,4.967253,6.922414,0.601646,0.771525,2.257456,-0.771537,2.257494,101.183823,111.195084,23,3455.128780,oceanic
104.958427,-9.028503,801,736,4.770409,60.982632,6.954390,11.520422,6.814284,1.388911,1.014871,2.155429,-1.014897,2.155485,102.256462,166.792626,23,3455.128780,oceanic
105.463004,-9.069740,801,736,4.691048,55.597542,6.959630,11.513373,6.819589,1.389119,1.005227,2.155221,-1.005350,2.155485,103.448380,222.390167,23,3455.128780,oceanic
105.967695,-9.110285,801,736,4.611313,55.597542,6.964403,11.505737,6.824452,1.389162,0.995584,2.155178,-0.995726,2.155485,105.026642,277.987709,23,3455.128780,oceanic
