time_Ma,segment,geo_ups,geo_zone,n_samples,n_age,median_age_Ma,median_width_km,median_edge_km,median_lon,median_lat,is_E,is_C,age_ge_55,edge_near
19.0,Mariana,E,Parece_Vela_Basin,34,34,98.12816649999999,10396.057555,456.3032025,147.296153,16.1808385,1,0,1.0,1
20.0,Andes,C,Central_Andes_shortening,45,45,78.707878,7644.483198,1501.13363,-71.828604,-21.295696,0,1,1.0,0
20.0,Cascadia,N,Cascadia_no_backarc,22,17,8.309799,1982.16069,571.586997,-121.6128665,47.811296,0,0,0.0,1
20.0,Hellenic,E,Aegean_rifting,21,21,204.070267,5348.966791,433.209427,24.430462,32.797823,1,0,1.0,1
20.0,Izu-Bonin,E,Shikoku_Basin,23,23,72.200783,10424.802343,1056.353295,141.958007,29.560118,1,0,1.0,1
20.0,Japan,E,Japan_Sea_opening,1,1,53.005974,10424.802343,510.960999,140.009094,35.313563,1,0,0.0,1
20.0,Mariana,E,Parece_Vela_Basin,35,35,106.650375,10424.802343,475.867587,147.138017,16.506957,1,0,1.0,1
21.0,Andes,C,Central_Andes_shortening,45,45,79.235809,8192.872812,1501.13363,-72.075636,-21.049632,0,1,1.0,0
21.0,Cascadia,N,Cascadia_no_backarc,22,17,8.787846,2005.18495,633.318344,-121.410057,47.9411935,0,0,0.0,1
21.0,Hellenic,E,Aegean_rifting,13,13,200.207596,5325.140879,166.792626,27.197349,32.823752,1,0,1.0,1
21.0,Izu-Bonin,E,Shikoku_Basin,23,23,59.029549,10406.517465,1000.755754,141.71197,29.395498,1,0,1.0,1
21.0,Mariana,E,Parece_Vela_Basin,35,35,104.757912,10406.517465,452.623027,146.796841,16.551732,1,0,1.0,1
22.0,Andes,C,Central_Andes_shortening,45,45,79.275391,8091.109745,1501.13363,-72.008106,-21.212274,0,1,1.0,0
